Timestamp,Agency,Area,CarParkID,Development,Location,LotType
2020-08-19 19:09:08,HDB,,P9,BLK 128 PUNGGOL FIELD WALK,1.392923918 103.9125375,C
2020-08-19 19:09:08,HDB,,Q8,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,Y
2020-08-19 19:09:08,HDB,,Q8,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,H
2020-08-19 19:09:08,HDB,,Q8,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,C
2020-08-19 19:09:08,HDB,,T1,BLK 101/108 TAMPINES ST 11,1.347395724 103.9462336,C
2020-08-19 19:09:08,HDB,,T3,BLK 109/114 TAMPINES ST 11,1.346598132 103.9474328,C
2020-08-19 19:09:08,HDB,,T4,BLK 124/127 TAMPINES STREET 11,1.345420018 103.9498142,C
2020-08-19 19:09:08,HDB,,T7,BLK 136/138 TAMPINES ST 11,1.345469697 103.9458054,C
2020-08-19 19:09:08,HDB,,T8,BLK 137/139 TAMPINES ST 11,1.346414231 103.9441901,C
2020-08-19 19:09:08,HDB,,T9,BLK 140/148 TAMPINES STREET 12,1.347816332 103.9436467,C
2020-08-19 19:09:08,HDB,,U1,BLK 101/110 BUKIT BATOK WEST AVE 6,1.348389703 103.7469815,C
2020-08-19 19:09:08,HDB,,U2,BLK 111/132 BUKIT BATOK WEST AVE 6,1.349872484 103.7463093,C
2020-08-19 19:09:08,HDB,,U3,BLK 133/139 BUKIT BATOK WEST AVENUE 6,1.351391957 103.7443516,C
2020-08-19 19:09:08,HDB,,U4,BLK 140/143 BUKIT BATOK STREET 11,1.350653565 103.74322,C
2020-08-19 19:09:08,HDB,,U5,BLK 144/149 BUKIT BATOK WEST AVENUE 6,1.350137241 103.7446779,C
2020-08-19 19:09:08,HDB,,U6,BLK 150/158 BUKIT BATOK STREET 11,1.348029518 103.7441035,C
2020-08-19 19:09:08,HDB,,U7,BLK 159/164 BUKIT BATOK STREET 11,1.348707664 103.7420927,C
2020-08-19 19:09:08,HDB,,U8,BLK 165/168 BUKIT BATOK WEST AVENUE 8,1.347161979 103.7418946,C
2020-08-19 19:09:08,HDB,,U9,BLK 169/177 BUKIT BATOK WEST AVENUE 8,1.345845573 103.7411926,C
2020-08-19 19:09:08,HDB,,W3,BLK 4A/6A WOODLANDS CENTRE ROAD,1.4406995 103.7695026,C
2020-08-19 19:09:08,HDB,,W4,BLK 6/7 MARSILING DRIVE,1.442458149 103.7767461,C
2020-08-19 19:09:08,HDB,,W5,BLK 10/13 MARSILING LANE,1.440754097 103.7781943,C
2020-08-19 19:09:08,HDB,,W6,BLK 15/16 MARSILING LANE,1.442102474 103.777954,C
2020-08-19 19:09:08,HDB,,W7,BLK 17/21 MARSILING LANE,1.443136124 103.7776083,C
2020-08-19 19:09:08,HDB,,Y1,BLK 101/102 YISHUN AVE 5,1.430844543 103.8280357,C
